postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority
RG6 3AP,475996,170644,Gleysols,,River Loddon,,Wokingham
DA11 9BB,561117,175837,Gleysols,0.0,,210.0,Gravesham
BS5 6TQ,361138,175498,Unsurveyed/Urban,,River Frome,590.0,"Bristol, City of"
RG2 0HZ,471700,169500,Unsurveyed/Urban,40.0,,,
DA4 0WE,553664,174039,Unsurveyed/Urban,20.0,River Darent,,
RG31 6XX,465674,175638,,80.0,River Thames,1460.0,West Berkshire
TN31 7BT,591126,120435,,,River Tillingham,450.0,Rother
SW9 8FZ,531426,175489,Unsurveyed/Urban,,River Thames,4100.0,Lambeth
DT8 3JH,345607,105006,Planosols,120.0,,640.0,
BR3 4TX,535666,168653,Unsurveyed/Urban,40.0,,,Bromley
PO19 9LB,485922,104179,Unsurveyed/Urban,10.0,,620.0,
SW15 3JU,524100,174200,Unsurveyed/Urban,40.0,,2070.0,
RG7 6DT,457443,172010,Luvisols,70.0,,,West Berkshire
RG14 9FB,447245,166993,Unsurveyed/Urban,,River Kennet,390.0,West Berkshire
RH10 0PU,526911,136846,Unsurveyed/Urban,70.0,Gatwick Stream,,Crawley
SE4 2FS,536024,175703,,,Ravensbourne River,1910.0,Lewisham
BH11 8PJ,405014,95518,Unsurveyed/Urban,50.0,,,"Bournemouth, Christchurch and Poole"
BA3 6RN,379601,156054,,90.0,,390.0,Mendip
BR3 5DY,538035,169493,,,Ravensbourne River,1840.0,Bromley
BS19 4QB,344024,166226,Luvisols,,Stowey Rhyne,1330.0,North Somerset
EX34 9QP,253196,147251,,40.0,,1000.0,
RG5 4JT,476279,172880,,50.0,River Loddon,,Wokingham
ME14 1HW,575653,156656,Unsurveyed/Urban,20.0,,270.0,Maidstone
BH15 1DW,401619,91092,Unsurveyed/Urban,,,1000.0,"Bournemouth, Christchurch and Poole"
BA1 7AN,376587,167141,Unsurveyed/Urban,,,760.0,Bath and North East Somerset
SN11 8QQ,402606,169544,,100.0,River's Brook,,Wiltshire
BA3 4QE,367387,152440,Leptosols,,,570.0,Mendip
BS2 9DT,359775,173346,Unsurveyed/Urban,,River Frome,470.0,"Bristol, City of"
TW11 8UR,515000,172000,Unsurveyed/Urban,,Longford River,1440.0,Richmond upon Thames
TN38 9SH,578462,110802,,30.0,,,Hastings
TW16 5PU,511580,169386,,10.0,Portlane Brook,730.0,Spelthorne
SO4 1YU,444347,101269,Unsurveyed/Urban,,Dark Water,540.0,New Forest
ME15 7DJ,576713,154485,,60.0,,1310.0,
SE11 6EW,530811,178769,Unsurveyed/Urban,10.0,,1930.0,
SN4 8NP,407616,183005,Unsurveyed/Urban,120.0,,1260.0,Wiltshire
BA5 2XB,354432,145448,,,St Andrew's Stream,,
BN17 5NE,503100,101800,,10.0,River Arun,750.0,Arun
RH16 2JZ,534618,125581,Unsurveyed/Urban,50.0,Scrase Stream,,Mid Sussex
TQ4 6LL,288888,57190,,60.0,,,Torbay
PL12 6QP,237151,65313,,110.0,,470.0,Cornwall
TN2 5GN,560096,138180,Luvisols,120.0,,1870.0,
EX32 0AT,256354,130908,Cambisols,,,,North Devon
BS22 9TY,333228,161055,Gleysols,,Uphill Great Rhyne,1100.0,North Somerset
ME8 9TP,580459,163458,Unsurveyed/Urban,,,5960.0,Medway
BN5 0FP,522090,114406,,,,1350.0,Horsham
BR5 3WB,547415,168503,Unsurveyed/Urban,,River Cray,1030.0,Bromley
SW19 2WH,524321,170180,,20.0,River Wandle,3040.0,Merton
BH8 9AX,410816,92773,Unsurveyed/Urban,40.0,The Bourne,3250.0,
RH18 5GT,542573,134825,,80.0,River Medway,750.0,Wealden
BH17 8PH,402899,93967,,20.0,,1770.0,"Bournemouth, Christchurch and Poole"
PO10 8JZ,477248,105716,Luvisols,10.0,,690.0,
TN21 0LU,557285,121003,Luvisols,150.0,,990.0,Wealden
RG3 3EH,469712,172049,,50.0,,,Reading
GU1 2TG,501959,150651,Unsurveyed/Urban,70.0,,2060.0,Guildford
SE23 3YY,535421,172625,Unsurveyed/Urban,,Pool River,,Lewisham
PO7 8NX,470073,110148,Unsurveyed/Urban,40.0,,1170.0,Havant
DA12 4SY,566303,171775,Unsurveyed/Urban,,,2040.0,
BA15 2YH,380992,161217,Leptosols,110.0,River Avon,,Wiltshire
RH5 4ES,516777,145965,,90.0,,400.0,Mole Valley
RG7 3LR,464948,166969,,,,2200.0,
SE24 9QB,532267,174279,Unsurveyed/Urban,,River Thames,5570.0,Southwark
BN7 1PZ,540608,110487,Unsurveyed/Urban,60.0,,660.0,
GU10 4JL,480528,142813,Planosols,120.0,River Wey,,East Hampshire
UB4 9WA,511387,182394,Unsurveyed/Urban,30.0,Yeading Brook,,
PO8 9PD,469561,113112,,70.0,,3800.0,East Hampshire
RG18 0NG,456818,174344,Planosols,110.0,River Pang,3020.0,
RG9 9HX,476113,182461,,40.0,River Thames,,
PL19 0JU,249191,77321,,180.0,River Wallabrook,,
SO31 8LB,447916,109562,Unsurveyed/Urban,,,250.0,
TA1 2XJ,324936,125263,Unsurveyed/Urban,20.0,River Tone,,Somerset West and Taunton
SE24 9LA,532456,174445,Unsurveyed/Urban,30.0,,5560.0,Southwark
CR5 1NX,529653,156531,Luvisols,160.0,,,Reigate and Banstead
BN11 1TJ,514636,102514,,10.0,,2360.0,Worthing
RG26 3EJ,461457,162380,Podsols,,,850.0,Basingstoke and Deane
BS18 5TZ,362985,155648,,,,1270.0,Bath and North East Somerset
SN8 2BJ,420313,169078,Leptosols,130.0,River Kennet,320.0,
SM7 3NQ,527402,159804,Unsurveyed/Urban,150.0,,5080.0,
TQ7 3YG,273513,44195,Cambisols,,,,South Hams
TR1 1AP,183886,45087,Cambisols,,Truro River,1280.0,Cornwall
BH15 1TB,401428,90877,Unsurveyed/Urban,10.0,,,"Bournemouth, Christchurch and Poole"
ME15 7JU,577502,153434,Unsurveyed/Urban,,River Len,1910.0,Maidstone
SN11 0PF,399163,166589,Stagnosols,,,,Wiltshire
SN10 2JG,402332,163037,Luvisols,130.0,Kennet and Avon Canal,4230.0,
CR9 2UL,532502,165815,,60.0,River Wandle,3130.0,Croydon
BS11 0LZ,354089,178147,Unsurveyed/Urban,10.0,,1950.0,"Bristol, City of"
EX5 7AS,300505,95065,,30.0,,520.0,East Devon
RG26 4YS,459080,162046,Podsols,100.0,,1050.0,
OX44 7TX,460305,198606,Luvisols,60.0,,1010.0,
TW9 1BY,517900,175000,,,,,
BS15 9QA,364937,173284,Unsurveyed/Urban,,River Avon,,
BS16 3LQ,363164,174857,Unsurveyed/Urban,60.0,River Frome,1610.0,
RG6 9LL,473353,173709,,40.0,River Thames,910.0,Wokingham
TR11 3XU,181428,32307,,,,,Cornwall
CT6 8LG,616881,168125,Unsurveyed/Urban,10.0,Plenty Brook,,
PO19 3SR,485922,104179,Unsurveyed/Urban,,River Lavant,620.0,Chichester
KT5 8SY,518791,166867,Unsurveyed/Urban,30.0,,380.0,Kingston upon Thames
RG18 9NU,448830,173674,,120.0,,2090.0,West Berkshire
TN22 2BW,546415,124359,Luvisols,60.0,,1140.0,
TQ13 9RU,277671,75138,Histosols,190.0,,,Teignbridge
SO16 3JD,441926,116171,Unsurveyed/Urban,,,,Southampton
RG14 7HP,447469,166537,,80.0,Kennet and Avon Canal,740.0,West Berkshire
