postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority
PO9 5EA,472101,108419,Unsurveyed/Urban,40,,1530.0,Havant
EX15 3XE,313905,113519,Luvisols,130,River Culm,310.0,Mid Devon
PO14 4RJ,452325,106646,Unsurveyed/Urban,40,,1270.0,Fareham
SE24 9UX,532008,174437,Unsurveyed/Urban,20,River Thames,5290.0,Lambeth
BS20 9PR,346765,176083,Unsurveyed/Urban,10,,640.0,North Somerset
RH10 7DF,529597,136745,Unsurveyed/Urban,90,Gatwick Stream,630.0,Crawley
PL2 2YZ,250353,53862,Unsurveyed/Urban,10,Pomphlett Lake,130.0,Plymouth
GU22 2WS,500739,158609,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking
SN8 1EA,418847,169121,Unsurveyed/Urban,130,River Kennet,260.0,Wiltshire
SE2 0XP,546019,177982,Unsurveyed/Urban,20,,530.0,Greenwich
RG12 1NB,486242,169497,Unsurveyed/Urban,60,,460.0,Bracknell Forest
SO1 8BJ,438705,115550,Unsurveyed/Urban,30,Tanner's Brook,810.0,Southampton
BH23 1XN,415647,92806,Unsurveyed/Urban,0,Mill Stream,480.0,"Bournemouth, Christchurch and Poole"
BN3 7QN,528161,106811,Unsurveyed/Urban,60,West Arm,5900.0,Brighton and Hove
BA2 6FF,376166,165612,Unsurveyed/Urban,50,Kennet and Avon Canal,3060.0,Bath and North East Somerset
SW19 1LR,525287,170137,Unsurveyed/Urban,20,River Wandle,2650.0,Merton
BN21 9AE,560784,99116,Unsurveyed/Urban,10,,1510.0,Eastbourne
SO31 7PH,450957,108188,Unsurveyed/Urban,50,,890.0,Fareham
PO15 7HH,452890,109666,Planosols,20,,330.0,Winchester
TN23 9FA,601229,142520,Unsurveyed/Urban,40,Great Stour,230.0,Ashford
BS8 9AE,357424,173013,Unsurveyed/Urban,70,,620.0,"Bristol, City of"
GU22 2DZ,500740,158617,Unsurveyed/Urban,40,Basingstoke Canal,1020.0,Woking
BS13 0PD,358574,167947,Unsurveyed/Urban,50,Pigeonhouse Stream,160.0,"Bristol, City of"
RH12 9WW,517691,131138,Unsurveyed/Urban,50,River Arun,1590.0,Horsham
DA13 9WB,565041,174030,Unsurveyed/Urban,20,River Thames,950.0,Gravesham
BS19 2PW,347855,169310,Gleysols,10,,140.0,North Somerset
PL1 9BP,250426,53731,Unsurveyed/Urban,10,Pomphlett Lake,270.0,Plymouth
RG3 6EB,467455,174345,Unsurveyed/Urban,60,River Thames,850.0,Reading
RG21 4DL,464733,152163,Unsurveyed/Urban,90,River Loddon,1220.0,Basingstoke and Deane
GU31 5YA,473200,120900,Cambisols,90,,1340.0,East Hampshire
SW2 9NG,530563,174473,Unsurveyed/Urban,30,River Thames,4550.0,Lambeth
TA7 8BY,332107,141779,Unsurveyed/Urban,10,King's Sedgemoor Drain,1880.0,Sedgemoor
SP4 0BY,420418,139516,Cambisols,80,River Bourne,7540.0,Wiltshire
PO13 0DS,458418,102194,Unsurveyed/Urban,10,River Alver,920.0,Gosport
PO4 0TS,465000,98100,Unsurveyed/Urban,10,,3360.0,Portsmouth
SM2 7QA,524656,162651,Unsurveyed/Urban,70,Hogsmill River,3040.0,Sutton
BS40 8UW,355789,162110,Luvisols,60,,550.0,Bath and North East Somerset
KT5 8PY,518662,167492,Unsurveyed/Urban,30,,1020.0,Kingston upon Thames
PO8 9QD,468588,112083,Stagnosols,70,Hermitage Stream,3190.0,Havant
TW3 1BW,513900,175700,Unsurveyed/Urban,20,River Crane,2080.0,Hounslow
EX39 3DH,244645,126006,Unsurveyed/Urban,70,River Torridge,830.0,Torridge
SL5 7PY,494695,168660,Luvisols,60,,1720.0,Windsor and Maidenhead
TW5 9PT,511578,177492,Unsurveyed/Urban,30,River Crane,1870.0,Hounslow
TW1 4PU,515568,172122,Unsurveyed/Urban,10,River Crane,1900.0,Richmond upon Thames
SO22 4AR,447329,128361,Unsurveyed/Urban,50,,530.0,Winchester
TN4 9WF,559924,142133,Planosols,70,,400.0,Tunbridge Wells
SE24 0PW,531300,175200,Unsurveyed/Urban,20,River Thames,4250.0,Lambeth
RG16 7TJ,431098,175540,Luvisols,200,River Lambourn,4830.0,West Berkshire
TN22 3BH,546787,127874,Luvisols,140,,1320.0,Wealden
SO18 1JZ,444236,114416,Unsurveyed/Urban,20,River Itchen,1750.0,Southampton
RG1 2XS,471321,174026,Unsurveyed/Urban,40,River Thames,540.0,Reading
DT11 7HS,388737,106993,Unsurveyed/Urban,60,River Stour,1580.0,Dorset
PL2 1BS,245846,55631,Unsurveyed/Urban,60,Ham Brook,1980.0,Plymouth
CR0 3AG,530105,167228,Unsurveyed/Urban,40,,1940.0,Croydon
SM7 3RU,525900,159700,Unsurveyed/Urban,160,,5870.0,Reigate and Banstead
BA1 2ZA,375350,164482,Unsurveyed/Urban,20,River Avon,1780.0,Bath and North East Somerset
BH24 3ZD,416376,105663,Unsurveyed/Urban,20,Lin Brook,920.0,New Forest
EX4 1JG,290859,91792,Unsurveyed/Urban,10,River Exe,1340.0,Exeter
RH13 9DP,516481,126550,Planosols,50,,720.0,Horsham
EX17 4TN,277479,111551,Cambisols,180,River Dalch,1230.0,Mid Devon
PL2 1RZ,245364,55841,Unsurveyed/Urban,30,Ham Brook,1580.0,Plymouth
CR3 4AS,534428,155136,Unsurveyed/Urban,140,,3090.0,Tandridge
BN17 7GX,502114,103774,Luvisols,10,Black Ditch,870.0,Arun
TR20 8TN,145425,28581,Cambisols,80,Newlyn Coombe River,1040.0,Cornwall
BA6 9PF,349755,138988,Unsurveyed/Urban,20,River Brue,330.0,Mendip
SE23 2YN,535421,172625,Unsurveyed/Urban,50,Pool River,1730.0,Lewisham
RG25 2BA,456089,145050,Luvisols,140,River Test,6620.0,Basingstoke and Deane
